mac:000c.2990.e6f2----info{'IP': '172.17.103.10', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:000c.2965.558a----info{'IP': '172.17.105.15', 'product': 'Vlan215', 'time': '2015-02-04'}
mac:000c.29b2.bf22----info{'IP': '172.17.101.18', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:000c.2994.3b88----info{'IP': '172.17.101.43', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:d4be.d902.58e3----info{'IP': '172.17.110.125', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:0025.64ba.b314----info{'IP': '172.17.103.179', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:b8ca.3a8f.e01c----info{'IP': '172.17.110.123', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:000e.c6f5.ee6a----info{'IP': '172.17.103.160', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:000c.29cc.0394----info{'IP': '172.17.101.19', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:b8ca.3a90.1799----info{'IP': '172.17.108.250', 'product': 'Vlan223', 'time': '2015-02-04'}
mac:cc3a.615e.da84----info{'IP': '172.17.110.111', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:0025.64bb.7e8c----info{'IP': '172.17.103.185', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:a0ce.c800.0eac----info{'IP': '172.17.103.106', 'product': 'Vlan212', 'time': '2015-02-04'}
mac:000c.29f7.f973----info{'IP': '172.17.110.12', 'product': 'Vlan225', 'time': '2015-02-04'}
mac:b8ca.3a97.6142----info{'IP': '172.17.101.127', 'product': 'Vlan211', 'time': '2015-02-04'}
mac:b8ca.3a97.6636----info{'IP': '172.17.102.55', 'product': 'Vlan214', 'time': '2015-02-04'}
mac:0080.7793.f803----info{'IP': '172.17.51.20', 'product': 'Vlan206', 'time': '2015-02-04'}
mac:b8ca.3aa9.d444----info{'IP': '172.17.110.100', 'product': 'Vlan225', 'time': '2015-02-04'}
