Name	Type	Data
agcn1-wkeng258	Host (A)	172.17.103.208
agcn1-wkeng263	Host (A)	172.17.103.209
agcn1-wkeng146	Host (A)	172.17.103.211
agcn1-wkeng251	Host (A)	172.17.103.211
agcn1-wkeng175	Host (A)	172.17.103.212
agcn1-laptop14	Host (A)	172.17.103.213
agcn1-wkeng167	Host (A)	172.17.103.214
agcn1-wkeng215	Host (A)	172.17.103.215
agcn1-latop59	Host (A)	172.17.103.218
agcn1-wkeng171	Host (A)	172.17.103.224
agcn1-wkeng288	Host (A)	172.17.103.225
agcn1-laptop47	Host (A)	172.17.103.227
agcn1-wkeng165	Host (A)	172.17.103.229
agcn1-laptop91	Host (A)	172.17.103.232
agcn1-laptop23	Host (A)	172.17.103.235
agcn1-laptop104	Host (A)	172.17.103.237
agcn1-laptop57	Host (A)	172.17.104.51
agcn1-laptop56	Host (A)	172.17.104.53
agcn1-wkeng257	Host (A)	172.17.104.57
AGCN1-WKENG310	Host (A)	172.17.104.59
agcn1-wkeng307	Host (A)	172.17.104.60
agcn1-wkeng178	Host (A)	172.17.104.61
agcn1-wkeng311	Host (A)	172.17.104.62
agcn1-wkeng286	Host (A)	172.17.104.63
agcn1-wkeng102	Host (A)	172.17.104.64
agcn1-wkeng193	Host (A)	172.17.104.65
agcn1-wkeng284	Host (A)	172.17.104.67
agcn1-wkeng274	Host (A)	172.17.104.68
agcn1-wkeng169	Host (A)	172.17.104.69
agcn1-wkeng289	Host (A)	172.17.104.71
agcn1-wkeng162	Host (A)	172.17.104.72
agcn1-wkeng264	Host (A)	172.17.104.74
agcn1-wkeng80	Host (A)	172.17.104.75
agcn1-wkeng302	Host (A)	172.17.104.76
agcn1-laptop58	Host (A)	172.17.104.78
agcn1-wkeng268	Host (A)	172.17.104.79
AGCN1-LAPTOP28	Host (A)	172.17.104.81
agcn1-wkeng250	Host (A)	172.17.104.98
agcn1-laptop06	Host (A)	172.17.104.101
AGCN1-WKENG179	Host (A)	172.17.104.104
agcn1-wkeng18	Host (A)	172.17.104.105
agcn1-wkeng202	Host (A)	172.17.104.107
agcn1-wkeng104	Host (A)	172.17.104.108
agcn1-wkeng123	Host (A)	172.17.104.109
agcn1-wkeng31	Host (A)	172.17.105.54
agcn1-laptop97	Host (A)	172.17.105.56
agcn1-wkeng199	Host (A)	172.17.105.57
agcn1-wkeng154	Host (A)	172.17.105.58
agcn1-laptop99	Host (A)	172.17.105.59
agcn1-wkeng105	Host (A)	172.17.105.61
agcn1-laptop61	Host (A)	172.17.105.62
agcn1-laptop95	Host (A)	172.17.105.63
agcn1-laptop66	Host (A)	172.17.105.65
agcn1-wkeng261	Host (A)	172.17.105.73
agcn1-laptop45	Host (A)	172.17.105.76
agcn1-wkeng256	Host (A)	172.17.105.81
agcn1-wkeng206	Host (A)	172.17.105.82
agcn1-wkeng272	Host (A)	172.17.105.83
agcn1-wkeng188	Host (A)	172.17.105.85
agcn1-laptop61	Host (A)	172.17.105.88
agcn1-wkeng138	Host (A)	172.17.105.90
agcn1-wkeng275	Host (A)	172.17.105.94
agcn1-wkeng248	Host (A)	172.17.105.111
agcn1-wkeng157	Host (A)	172.17.105.119
agcn1-wkeng235	Host (A)	172.17.105.122
agcn1-wkeng240	Host (A)	172.17.105.123
agcn1-wkeng239	Host (A)	172.17.105.124
agcn1-wkeng125	Host (A)	172.17.105.126
agcn1-wkeng129	Host (A)	172.17.105.127
agcn1-wkeng203	Host (A)	172.17.105.130
agcn1-wkeng145	Host (A)	172.17.105.134
agcn1-wkeng201	Host (A)	172.17.105.135
agcn1-wkeng128	Host (A)	172.17.105.136
agcn1-wkeng24	Host (A)	172.17.105.137
agcn1-laptop30	Host (A)	172.17.105.138
agcn1-wkeng160	Host (A)	172.17.105.145
agcn1-wkeng147	Host (A)	172.17.105.158
agcn1-wkeng233	Host (A)	172.17.105.160
agcn1-wkeng291	Host (A)	172.17.105.162
agcn1-wkeng247	Host (A)	172.17.105.163
agcn1-wkeng149	Host (A)	172.17.105.164
agcn1-wkeng282	Host (A)	172.17.105.167
agcn1-wkeng180	Host (A)	172.17.105.169
agcn1-wkeng287	Host (A)	172.17.105.172
