mac:000e.c6f5.ee6a----info['172.17.103.160', '2015-02-10', 'Vlan212', 'null']
mac:b8ca.3a90.1799----info['172.17.108.250', '2015-02-10', 'Vlan223', 'agcn1-wkeng197']
mac:cc3a.615e.da84----info['172.17.110.111', '2015-02-10', 'Vlan225', 'null']
mac:0025.64bb.7e8c----info['172.17.103.185', '2015-02-10', 'Vlan212', 'agcn1-wkeng101']
mac:a0ce.c800.0eac----info['172.17.103.106', '2015-02-10', 'Vlan212', 'agcn1-laptop81']
mac:000c.29f7.f973----info['172.17.110.12', '2015-02-10', 'Vlan225', 'null']
mac:b8ca.3a97.6142----info['172.17.101.127', '2015-02-10', 'Vlan211', 'agcn1-wkeng211']
mac:b8ca.3a97.6636----info['172.17.102.55', '2015-02-10', 'Vlan214', 'agcn1-wkeng208']
mac:0080.7793.f803----info['172.17.51.20', '2015-02-10', 'Vlan206', 'null']
mac:b8ca.3aa9.d444----info['172.17.110.100', '2015-02-10', 'Vlan225', 'agcn1-wkeng221']
mac:90b1.1c95.1b38----info['172.17.104.69', '2015-02-10', 'Vlan210', 'agcn1-wkeng169']
mac:f8b1.56d0.1b65----info['172.17.3.5', '2015-02-10', 'Vlan216', 'agcn1-wkeng246']
mac:bc30.5ba7.5950----info['172.17.104.64', '2015-02-10', 'Vlan210', 'agcn1-wkeng102']
mac:38bc.1a9b.c57c----info['172.17.103.222', '2015-02-10', 'Vlan212', 'null']
mac:bc30.5ba7.5953----info['172.17.105.61', '2015-02-10', 'Vlan215', 'agcn1-wkeng105']
mac:3417.ebb1.0e07----info['172.17.110.121', '2015-02-10', 'Vlan225', 'agcn1-wkeng265']
mac:000c.297c.935b----info['172.17.3.11', '2015-02-10', 'Vlan216', 'null']
mac:0025.64ab.1529----info['172.17.3.80', '2015-02-10', 'Vlan216', 'null']
mac:0060.6f4d.0784----info['172.17.5.4', '2015-02-10', 'Vlan205', 'null']
mac:0c27.2438.ce41----info['172.17.1.15', '2015-02-10', 'Vlan218', 'null']
mac:d022.beee.3873----info['172.17.103.221', '2015-02-10', 'Vlan212', 'null']
mac:000c.29cf.7e09----info['172.17.101.4', '2015-02-10', 'Vlan211', 'null']
mac:0025.64bb.8adb----info['172.17.104.108', '2015-02-10', 'Vlan210', 'agcn1-wkeng104']
mac:000c.29f3.e609----info['172.17.101.27', '2015-02-10', 'Vlan211', 'null']
mac:3417.ebc2.c200----info['172.17.110.116', '2015-02-10', 'Vlan225', 'agcn1-wkeng292']
mac:000c.2942.a25e----info['172.17.101.7', '2015-02-10', 'Vlan211', 'null']
mac:90b1.1c91.51a9----info['172.17.103.229', '2015-02-10', 'Vlan212', 'agcn1-wkeng165']
mac:ecf4.bb94.e6e1----info['172.17.52.2', '2015-02-10', 'Vlan207', 'agcn1-laptop102']
mac:d4be.d957.ad4e----info['172.17.10.114', '2015-02-10', 'Vlan220', 'agcn1-laptop52']
mac:0004.f2a8.de0f----info['172.17.4.3', '2015-02-10', 'Vlan204', 'null']
mac:0025.64bb.8c1e----info['172.17.51.93', '2015-02-10', 'Vlan206', 'agcn1-wkeng115']
mac:5c51.4fa9.2e5f----info['172.17.10.106', '2015-02-10', 'Vlan220', 'null']
mac:0024.2c27.be8f----info['172.17.101.107', '2015-02-10', 'Vlan211', 'agcn1-laptop37']
